"Name","mldg_weights","use_gl_modules","use_apvit","num_classes","best_accuracy"
"14_mLDG_no_apvit_pretrain_NoGL_NoAV_NC7","./weights/mLDG_no_apvit_pretrain.pth","false","false","7","55.34285736083984"
"6_mLDG_apvit_7class_pretrain_NoGL_NoAV_NC7","./weights/mLDG_apvit_7class_pretrain.pth","false","false","7","55.25714111328125"
"10_mLDG_no_apvit_pretrain_GL_NoAV_NC7","./weights/mLDG_no_apvit_pretrain.pth","true","false","7","55.17142868041992"
"2_mLDG_apvit_7class_pretrain_GL_NoAV_NC7","./weights/mLDG_apvit_7class_pretrain.pth","true","false","7","55.514286041259766"
"12_mLDG_no_apvit_pretrain_NoGL_AV_NC7","./weights/mLDG_no_apvit_pretrain.pth","false","true","7","63.31428527832031"
"4_mLDG_apvit_7class_pretrain_NoGL_AV_NC7","./weights/mLDG_apvit_7class_pretrain.pth","false","true","7","63.20000076293945"
"8_mLDG_no_apvit_pretrain_GL_AV_NC7","./weights/mLDG_no_apvit_pretrain.pth","true","true","7","63.14285659790039"
"0_mLDG_apvit_7class_pretrain_GL_AV_NC7","./weights/mLDG_apvit_7class_pretrain.pth","true","true","7","63.28571319580078"
"15_mLDG_no_apvit_pretrain_NoGL_NoAV_NC8","./weights/mLDG_no_apvit_pretrain.pth","false","false","8","48.712181091308594"
"7_mLDG_apvit_8class_pretrain_NoGL_NoAV_NC8","./weights/mLDG_apvit_8class_pretrain.pth","false","false","8","49.23731231689453"
"11_mLDG_no_apvit_pretrain_GL_NoAV_NC8","./weights/mLDG_no_apvit_pretrain.pth","true","false","8","49.23731231689453"
"3_mLDG_apvit_8class_pretrain_GL_NoAV_NC8","./weights/mLDG_apvit_8class_pretrain.pth","true","false","8","49.01225662231445"
"13_mLDG_no_apvit_pretrain_NoGL_AV_NC8","./weights/mLDG_no_apvit_pretrain.pth","false","true","8","56.76419448852539"
"5_mLDG_apvit_8class_pretrain_NoGL_AV_NC8","./weights/mLDG_apvit_8class_pretrain.pth","false","true","8","56.98925018310547"
"9_mLDG_no_apvit_pretrain_GL_AV_NC8","./weights/mLDG_no_apvit_pretrain.pth","true","true","8","56.839210510253906"
"1_mLDG_apvit_8class_pretrain_GL_AV_NC8","./weights/mLDG_apvit_8class_pretrain.pth","true","true","8","57.06427001953125"
