model_name,num_classes,params,params_M,macs,gmacs,mflops
M-LDG baseline (C=False),7,56426709,56.427,6334426140,6.334,6334.426
M-LDG baseline (C=False),8,56427736,56.428,6334427168,6.334,6334.427
M-LDG + APViT guidance (C=True),7,56426709,56.427,6334426140,6.334,6334.426
M-LDG + APViT guidance (C=True),8,56427736,56.428,6334427168,6.334,6334.427
M-LDG Phase I optimized,7,56426709,56.427,6334426140,6.334,6334.426
M-LDG Phase I optimized,8,56427736,56.428,6334427168,6.334,6334.427
EF guided by M-LDG (Phase II),7,1275293,1.275,158589676,0.159,158.59
EF guided by M-LDG (Phase II),8,1276318,1.276,158590700,0.159,158.591
EF guided by APViT (Phase II),7,1275293,1.275,158589676,0.159,158.59
EF guided by APViT (Phase II),8,1276318,1.276,158590700,0.159,158.591
APViT,7,65057479,65.057,12400071936,12.4,12400.072
APViT,8,65058248,65.058,12400072704,12.4,12400.073
Original EfficientFace,7,1275293,1.275,158589676,0.159,158.59
Original EfficientFace,8,1276318,1.276,158590700,0.159,158.591
Original LDG,7,23522375,23.522,4131708928,4.132,4131.709
Original LDG,8,23524424,23.524,4131710976,4.132,4131.711
